7,SÍ
14,NO
21,SÍ
23,SÍ
30,NO
41,NO
48,NO
54,SÍ
57,NO
62,SÍ
63,SÍ
69,SÍ
70,SÍ
77,NO
83,NO
89,SÍ
91,SÍ
93,NO
94,NO
106,SÍ
110,NO
113,SÍ
114,NO
120,NO
141,SÍ
150,NO
158,SÍ
160,SÍ
163,SÍ
175,SÍ
176,NO
184,NO
194,NO
204,SÍ
210,NO
213,SÍ
227,SÍ
241,NO
245,SÍ
246,SÍ
253,NO
256,NO
264,NO
271,NO
313,NO
323,NO
328,NO
334,SÍ
347,SÍ
356,SÍ
360,SÍ
382,NO
384,NO
388,NO
396,SÍ
400,NO
402,NO
407,NO
412,NO
415,SÍ
416,SÍ
426,SÍ
428,NO
438,NO
440,NO
453,SÍ
469,SÍ
474,SÍ
479,SÍ
490,SÍ
494,SÍ
501,SÍ
504,NO
509,SÍ
521,SÍ
541,SÍ
544,NO
547,SÍ
558,SÍ
559,SÍ
564,NO
576,SÍ
586,SÍ
587,NO
592,SÍ
597,SÍ
602,SÍ
604,NO
605,NO
612,SÍ
620,NO
621,SÍ
626,SÍ
628,NO
629,NO
630,NO
633,NO
647,NO
656,NO
659,SÍ
661,SÍ
663,SÍ
669,NO
675,NO
692,NO
695,NO
698,SÍ
700,SÍ
703,NO
706,NO
714,NO
715,SÍ
722,NO
725,NO
741,NO
752,NO
757,NO
758,SÍ
759,SÍ
764,NO
766,NO
771,NO
776,NO
785,NO
787,NO
815,SÍ
817,NO
818,NO
819,SÍ
822,SÍ
824,NO
829,SÍ
830,NO
837,NO
838,SÍ
854,SÍ
857,NO
862,SÍ
870,NO
875,SÍ
884,NO
886,NO
888,NO
895,NO
913,SÍ
929,SÍ
936,SÍ
944,NO
948,NO
953,NO
954,NO
958,NO
960,NO
962,SÍ
970,NO
973,NO
984,NO
987,SÍ
997,NO
1002,SÍ
1007,SÍ
1008,NO
1015,NO
1030,SÍ
1032,NO
1038,SÍ
1041,NO
1049,NO
1053,NO
1054,SÍ
1055,NO
1056,SÍ
1057,NO
1060,SÍ
1066,SÍ
1074,NO
1087,SÍ
1123,NO
1129,NO
1131,NO
1152,NO
1159,SÍ
1161,SÍ
1162,NO
1164,NO
1170,NO
1179,SÍ
1188,SÍ
1197,NO
1200,NO
1202,SÍ
1207,SÍ
1219,NO
1221,SÍ
1222,NO
1226,SÍ
1227,NO
1248,SÍ
1276,SÍ
1278,NO
1284,SÍ
1293,NO
1296,NO
1303,SÍ
1315,NO
1320,SÍ
1332,NO
1334,NO
1346,NO
1347,NO
1352,NO
1356,NO
1358,SÍ
1360,SÍ
1367,NO
1369,SÍ
1371,NO
1376,NO
1379,SÍ
1383,NO
1401,NO
1404,SÍ
1406,SÍ
1435,SÍ
1439,NO
1449,NO
1453,NO
1455,NO
1457,SÍ
1458,NO
1460,NO
1467,SÍ
1468,SÍ
1469,SÍ
1475,SÍ
1494,NO
1496,NO
1498,NO
1503,SÍ
1506,NO
1510,NO
1512,NO
1518,NO
1521,SÍ
1530,NO
1531,NO
1542,SÍ
1548,NO
1549,NO
1551,NO
1560,SÍ
1563,NO
1564,SÍ
1567,SÍ
1577,NO
1581,NO
1587,SÍ
1594,NO
1616,SÍ
1632,SÍ
1640,SÍ
1643,NO
1647,SÍ
1648,SÍ
1649,NO
